epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1708.97,1.27613,1.19034,1.3383,0.81204,0.76551,0.82348,0.50976,1.30697,0.99016,1.36528,0.0005942,0.0005942,0.0005942
73,1732.56,1.28503,1.21975,1.34617,0.79757,0.79612,0.82615,0.53004,1.25442,0.9667,1.33478,0.0005744,0.0005744,0.0005744
74,1756.15,1.27264,1.22244,1.33927,0.79386,0.7758,0.8194,0.5161,1.22985,0.98068,1.33627,0.0005546,0.0005546,0.0005546
75,1779.76,1.26021,1.18067,1.33257,0.7762,0.79126,0.82604,0.52906,1.24086,0.93502,1.34873,0.0005348,0.0005348,0.0005348
76,1803.36,1.26335,1.1708,1.34099,0.76387,0.75243,0.81117,0.51213,1.27605,0.96802,1.36924,0.000515,0.000515,0.000515
77,1826.95,1.25996,1.18064,1.32582,0.80929,0.78281,0.81858,0.52087,1.28787,0.95571,1.36658,0.0004952,0.0004952,0.0004952
78,1850.58,1.26368,1.15417,1.32678,0.83817,0.79196,0.83653,0.53837,1.22204,0.92118,1.32936,0.0004754,0.0004754,0.0004754
79,1874.25,1.23786,1.14464,1.31262,0.81305,0.78155,0.83364,0.52549,1.25565,0.91846,1.34267,0.0004556,0.0004556,0.0004556
80,1897.85,1.23925,1.14158,1.31318,0.82037,0.76487,0.82571,0.53952,1.22716,0.91054,1.32641,0.0004358,0.0004358,0.0004358
81,1921.44,1.22711,1.14574,1.31323,0.79942,0.81796,0.83608,0.5415,1.22418,0.90978,1.32347,0.000416,0.000416,0.000416
82,1945.1,1.22429,1.14553,1.30792,0.82489,0.79854,0.84897,0.54972,1.22848,0.91424,1.33167,0.0003962,0.0003962,0.0003962
83,1968.78,1.20675,1.11584,1.30454,0.84885,0.80421,0.84735,0.55264,1.22416,0.88047,1.334,0.0003764,0.0003764,0.0003764
84,1992.44,1.20241,1.10987,1.29623,0.81013,0.81311,0.84159,0.54326,1.21245,0.89684,1.32376,0.0003566,0.0003566,0.0003566
85,2016.04,1.22707,1.12751,1.31397,0.83418,0.82039,0.84816,0.5493,1.20745,0.86902,1.30466,0.0003368,0.0003368,0.0003368
86,2039.67,1.19853,1.09293,1.28248,0.85884,0.79612,0.8551,0.56203,1.20247,0.86225,1.31174,0.000317,0.000317,0.000317
87,2063.39,1.18697,1.08677,1.28416,0.84056,0.8034,0.8516,0.5555,1.20328,0.8713,1.32154,0.0002972,0.0002972,0.0002972
88,2086.95,1.20207,1.09577,1.29112,0.82778,0.80496,0.85434,0.55666,1.19025,0.87895,1.29815,0.0002774,0.0002774,0.0002774
89,2110.57,1.16943,1.06591,1.27027,0.83444,0.81553,0.86144,0.56487,1.18554,0.87833,1.29595,0.0002576,0.0002576,0.0002576
90,2134.25,1.17542,1.08483,1.27789,0.8619,0.80288,0.85621,0.55744,1.19043,0.87032,1.31756,0.0002378,0.0002378,0.0002378
91,2158.24,1.17324,0.92448,1.30809,0.85115,0.79109,0.85363,0.57081,1.16408,0.8738,1.28977,0.000218,0.000218,0.000218
92,2181.87,1.14593,0.86406,1.29411,0.84533,0.81068,0.85529,0.5785,1.15458,0.83877,1.2775,0.0001982,0.0001982,0.0001982
93,2205.52,1.13902,0.86298,1.28024,0.81517,0.8301,0.85042,0.57647,1.16242,0.83547,1.29586,0.0001784,0.0001784,0.0001784
94,2229.05,1.12177,0.85021,1.26556,0.83944,0.81212,0.8633,0.57376,1.17035,0.83219,1.29385,0.0001586,0.0001586,0.0001586
95,2252.61,1.11053,0.84293,1.2635,0.85187,0.82524,0.86394,0.58466,1.14462,0.81823,1.28569,0.0001388,0.0001388,0.0001388
96,2276.23,1.10142,0.81769,1.25576,0.83809,0.83981,0.86953,0.58193,1.16152,0.8108,1.29304,0.000119,0.000119,0.000119
97,2299.78,1.10433,0.81989,1.26238,0.8381,0.84184,0.86982,0.58492,1.15395,0.79823,1.28592,9.92e-05,9.92e-05,9.92e-05
98,2323.39,1.09213,0.81973,1.25639,0.85693,0.83252,0.85727,0.57982,1.14887,0.81076,1.28481,7.94e-05,7.94e-05,7.94e-05
99,2346.97,1.08219,0.7988,1.24842,0.83918,0.84856,0.86044,0.58234,1.14444,0.80644,1.28209,5.96e-05,5.96e-05,5.96e-05
100,2370.52,1.07058,0.78813,1.23374,0.83415,0.84709,0.86616,0.58477,1.13833,0.81109,1.27942,3.98e-05,3.98e-05,3.98e-05
