epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,10896,1.29649,1.11922,1.33567,0.62766,0.58036,0.61387,0.31674,1.63837,1.21633,1.58887,0.001288,0.001288,0.001288
90,11018.1,1.29142,1.10881,1.32993,0.6357,0.57569,0.61557,0.31707,1.63799,1.21826,1.58848,0.001189,0.001189,0.001189
91,11140.5,1.2898,1.02157,1.36247,0.64156,0.57336,0.61365,0.31671,1.63876,1.21882,1.59037,0.00109,0.00109,0.00109
92,11262.6,1.27311,0.99286,1.3534,0.65264,0.56431,0.61371,0.3171,1.64156,1.21932,1.59331,0.000991,0.000991,0.000991
93,11384.6,1.25563,0.96737,1.34279,0.64043,0.5677,0.61284,0.31625,1.64476,1.2227,1.59614,0.000892,0.000892,0.000892
94,11506.6,1.25133,0.96996,1.34149,0.64637,0.57003,0.61367,0.31552,1.64663,1.22523,1.59845,0.000793,0.000793,0.000793
95,11628.6,1.24027,0.95343,1.33101,0.64587,0.56629,0.61275,0.31475,1.65018,1.22629,1.60288,0.000694,0.000694,0.000694
96,11750.7,1.22357,0.93429,1.32499,0.63259,0.57653,0.6117,0.31354,1.65256,1.23023,1.60545,0.000595,0.000595,0.000595
97,11872.8,1.22309,0.93079,1.32224,0.62833,0.58022,0.61073,0.31336,1.65626,1.23294,1.60917,0.000496,0.000496,0.000496
98,11994.9,1.22062,0.92246,1.32075,0.62665,0.58518,0.60962,0.31195,1.65836,1.23556,1.61249,0.000397,0.000397,0.000397
99,12116.9,1.21926,0.9159,1.315,0.63599,0.57965,0.60859,0.31119,1.6604,1.23727,1.61463,0.000298,0.000298,0.000298
100,12239,1.20706,0.91391,1.31449,0.63436,0.57675,0.6067,0.31017,1.66282,1.23943,1.61808,0.000199,0.000199,0.000199
